月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,9,20,3.9,3.969687834,0,0,59.543245,-34,85
1,9,21,5.03,4.478475749,0,0,57.10168722,-47,86
1,9,22,3.36,4.032973496,0,0,56.42505028,-59,75
1,9,23,3.76,3.920561356,0,0,59.67939083,-70,56
1,9,24,3.92,3.930083525,0,0,60.19759694,-77,12
1,10,1,3.09,3.804530161,0,0,58.63957472,-74,-43
1,10,2,2.15,3.424310383,0,0,60.5847875,-63,-69
1,10,3,2.09,3.03085815,0,0,66.64631639,-51,-83
1,10,4,1.98,2.823678296,0,0,69.69043778,-39,-88
1,10,5,2.48,2.650873466,0,0,74.71416333,-27,-80
1,10,6,2.39,2.503660798,0,0,76.99292111,-15,-73
1,10,7,2.12,2.275265137,0,0,80.16463556,-3,-65
1,10,8,2.22,2.282760377,1183.579963,23.82503472,80.42425667,8,-56
1,10,9,3.46,2.188715446,1075.176002,56.79056417,87.26896111,17,-46
1,10,10,4.16,2.096429964,676.0971258,101.9838525,91.95756917,25,-34
1,10,11,5.18,2.04462196,651.5255969,130.7855758,97.21743389,31,-19
1,10,12,6.48,2.094687067,923.7903656,97.06389278,101.6611914,33,-3
1,10,13,7.39,2.18573322,892.8207389,92.50616972,103.7249503,32,13
1,10,14,7.51,2.139708859,671.4751292,119.1260236,105.1392267,28,29
1,10,15,7.48,2.160895073,137.135915,166.1420969,104.5945486,21,42
1,10,16,7.28,2.137734152,1.104426111,27.12042472,104.1980478,12,53
1,10,17,6.48,1.96335588,0,0,104.3214633,1,62
1,10,18,5.16,1.900148976,0,0,100.102925,-10,70
1,10,19,6.05,2.566816628,0,0,90.92383278,-22,78
1,10,20,3.38,1.883035612,0,0,93.12729417,-34,85
1,10,21,2.43,1.944130614,0,0,87.9956575,-47,86
1,10,22,1.89,2.095251834,0,0,82.75251056,-59,75
1,10,23,2.26,2.209319316,0,0,81.998555,-70,56
1,10,24,0.98,2.031157218,0,0,80.40382306,-77,12
1,11,1,-1.11,2.025788964,0,0,72.29783806,-73,-43
1,11,2,-1.66,2.099020407,0,0,68.69620917,-63,-69
1,11,3,-2.09,2.065623635,0,0,67.70711361,-51,-82
1,11,4,-2.6,2.113507637,0,0,64.79683444,-39,-88
1,11,5,-0.92,2.160178065,0,0,70.35697667,-27,-81
1,11,6,-0.78,2.132565176,0,0,71.44611083,-15,-73
1,11,7,-0.23,2.168214843,0,0,72.89625778,-3,-65
1,11,8,0.98,2.152719066,1119.906187,22.67371167,77.97918139,8,-56
1,11,9,2.68,2.148444879,995.99131,52.794255,84.885105,17,-46
1,11,10,4.49,1.968911976,985.1685439,78.05557111,95.89884111,25,-34
1,11,11,5.55,1.85743743,961.4328842,93.38471444,102.6282039,31,-19
1,11,12,6.66,1.897288883,929.462085,98.04630917,106.4540189,33,-3
1,11,13,7.46,1.940826844,875.127685,93.65497806,108.9439917,32,13
1,11,14,7.73,1.944554424,717.3951381,109.7682075,110.0198628,28,29
1,11,15,7.23,2.004679253,372.7533989,143.5193708,106.6526197,21,42
1,11,16,6.53,2.018069668,23.59396639,84.73008056,103.4136233,12,53
1,11,17,5.5,1.962499744,0,0,100.22533,1,62
1,11,18,4.12,2.05506447,0,0,92.62120889,-10,70
1,11,19,2.77,2.263641571,0,0,83.01298333,-22,78
1,11,20,5.96,3.214917933,0,0,79.55425667,-34,85
1,11,21,1.67,2.036849384,0,0,83.04230444,-46,86
1,11,22,2.53,2.356596742,0,0,80.27795194,-59,75
1,11,23,0.23,2.184582164,0,0,74.38558694,-70,56
1,11,24,-0.28,2.175105538,0,0,72.5652925,-77,12
1,12,1,-0.78,2.096902601,0,0,72.15347556,-73,-42
1,12,2,-0.58,2.037418387,0,0,74.12778556,-63,-69
1,12,3,-0.78,1.979245011,0,0,74.5313575,-51,-82
1,12,4,-0.44,2.138833884,0,0,72.65075361,-39,-89
1,12,5,-0.26,2.067158514,0,0,74.78173694,-27,-81
1,12,6,-0.59,1.927489173,0,0,76.34162861,-15,-73
1,12,7,-1.2,1.919088141,0,0,74.14066472,-3,-65
1,12,8,-0.35,2.16768367,855.423275,18.82057972,72.436175,8,-57
1,12,9,0.27,2.183249109,114.2247222,125.1620686,74.56936333,17,-46
